,open,high,low,close,volume
2024-08-30 10:45:00,2834.762,2842.828,2826.941,2839.325,12081863900.0
2024-08-30 11:00:00,2839.469,2861.313,2839.376,2860.887,5498539100.0
2024-08-30 11:15:00,2839.469,2861.313,2839.376,2860.887,5498539100.0
2024-08-30 11:30:00,2839.469,2861.313,2839.376,2860.887,5498539100.0
2024-08-30 13:15:00,2861.104,2867.603,2853.929,2867.166,6308520500.0
2024-08-30 13:30:00,2861.104,2867.603,2853.929,2867.166,6308520500.0
2024-08-30 13:45:00,2861.104,2867.603,2853.929,2867.166,6308520500.0
2024-08-30 14:00:00,2867.1,2867.965,2845.979,2845.979,6839708500.0
2024-08-30 14:15:00,2867.1,2867.965,2845.979,2845.979,6839708500.0
2024-08-30 14:30:00,2867.1,2867.965,2845.979,2845.979,6839708500.0
2024-08-30 14:45:00,2867.1,2867.965,2845.979,2845.979,6839708500.0
2024-08-30 15:00:00,2845.806,2846.776,2842.214,2842.214,3482590200.0
2024-09-02 09:45:00,2832.35,2836.981,2826.482,2835.145,8091916100.0
2024-09-02 10:00:00,2834.932,2839.278,2822.573,2826.173,10892859600.0
2024-09-02 10:15:00,2834.932,2839.278,2822.573,2826.173,10892859600.0
2024-09-02 10:30:00,2834.932,2839.278,2822.573,2826.173,10892859600.0
2024-09-02 10:45:00,2834.932,2839.278,2822.573,2826.173,10892859600.0
2024-09-02 11:00:00,2826.33,2827.78,2822.503,2824.504,3532011600.0
2024-09-02 11:15:00,2826.33,2827.78,2822.503,2824.504,3532011600.0
2024-09-02 11:30:00,2826.33,2827.78,2822.503,2824.504,3532011600.0
2024-09-02 13:15:00,2824.384,2828.142,2821.137,2826.659,4129583700.0
2024-09-02 13:30:00,2824.384,2828.142,2821.137,2826.659,4129583700.0
2024-09-02 13:45:00,2824.384,2828.142,2821.137,2826.659,4129583700.0
2024-09-02 14:00:00,2826.483,2827.128,2814.256,2816.111,5153953300.0
2024-09-02 14:15:00,2826.483,2827.128,2814.256,2816.111,5153953300.0
2024-09-02 14:30:00,2826.483,2827.128,2814.256,2816.111,5153953300.0
2024-09-02 14:45:00,2826.483,2827.128,2814.256,2816.111,5153953300.0
2024-09-02 15:00:00,2816.179,2817.577,2810.374,2811.035,2271095000.0
2024-09-03 09:45:00,2809.173,2814.903,2806.536,2808.392,5143875400.0
2024-09-03 10:00:00,2808.273,2811.221,2799.378,2806.592,9391586000.0
2024-09-03 10:15:00,2808.273,2811.221,2799.378,2806.592,9391586000.0
2024-09-03 10:30:00,2808.273,2811.221,2799.378,2806.592,9391586000.0
2024-09-03 10:45:00,2808.273,2811.221,2799.378,2806.592,9391586000.0
2024-09-03 11:00:00,2806.547,2807.329,2795.399,2796.483,3495159100.0
2024-09-03 11:15:00,2806.547,2807.329,2795.399,2796.483,3495159100.0
2024-09-03 11:30:00,2806.547,2807.329,2795.399,2796.483,3495159100.0
2024-09-03 13:15:00,2797.035,2802.724,2794.911,2797.966,3509818900.0
2024-09-03 13:30:00,2797.035,2802.724,2794.911,2797.966,3509818900.0
2024-09-03 13:45:00,2797.035,2802.724,2794.911,2797.966,3509818900.0
2024-09-03 14:00:00,2797.746,2804.724,2797.012,2801.402,4068368800.0
2024-09-03 14:15:00,2797.746,2804.724,2797.012,2801.402,4068368800.0
2024-09-03 14:30:00,2797.746,2804.724,2797.012,2801.402,4068368800.0
2024-09-03 14:45:00,2797.746,2804.724,2797.012,2801.402,4068368800.0
2024-09-03 15:00:00,2801.334,2804.767,2800.848,2802.979,1964805700.0
2024-09-04 09:45:00,2786.505,2792.961,2785.225,2786.028,5792539800.0
2024-09-04 10:00:00,2786.15,2794.122,2781.935,2791.983,8155472000.0
2024-09-04 10:15:00,2786.15,2794.122,2781.935,2791.983,8155472000.0
2024-09-04 10:30:00,2786.15,2794.122,2781.935,2791.983,8155472000.0
2024-09-04 10:45:00,2786.15,2794.122,2781.935,2791.983,8155472000.0
2024-09-04 11:00:00,2792.052,2800.606,2789.146,2789.389,3051199800.0
2024-09-04 11:15:00,2792.052,2800.606,2789.146,2789.389,3051199800.0
2024-09-04 11:30:00,2792.052,2800.606,2789.146,2789.389,3051199800.0
2024-09-04 13:15:00,2789.26,2789.26,2781.949,2787.038,2908034700.0
2024-09-04 13:30:00,2789.26,2789.26,2781.949,2787.038,2908034700.0
2024-09-04 13:45:00,2789.26,2789.26,2781.949,2787.038,2908034700.0
2024-09-04 14:00:00,2786.947,2790.449,2784.318,2784.529,4053135700.0
2024-09-04 14:15:00,2786.947,2790.449,2784.318,2784.529,4053135700.0
2024-09-04 14:30:00,2786.947,2790.449,2784.318,2784.529,4053135700.0
2024-09-04 14:45:00,2786.947,2790.449,2784.318,2784.529,4053135700.0
2024-09-04 15:00:00,2784.511,2786.096,2783.876,2784.278,1784968000.0
2024-09-05 09:45:00,2785.264,2796.019,2783.433,2786.885,4822360100.0
2024-09-05 10:00:00,2786.699,2795.572,2780.74,2786.56,7542724600.0
2024-09-05 10:15:00,2786.699,2795.572,2780.74,2786.56,7542724600.0
2024-09-05 10:30:00,2786.699,2795.572,2780.74,2786.56,7542724600.0
2024-09-05 10:45:00,2786.699,2795.572,2780.74,2786.56,7542724600.0
2024-09-05 11:00:00,2786.201,2788.766,2782.089,2785.381,2791017600.0
2024-09-05 11:15:00,2786.201,2788.766,2782.089,2785.381,2791017600.0
2024-09-05 11:30:00,2786.201,2788.766,2782.089,2785.381,2791017600.0
2024-09-05 13:15:00,2785.534,2786.603,2780.26,2780.865,2830930000.0
2024-09-05 13:30:00,2785.534,2786.603,2780.26,2780.865,2830930000.0
2024-09-05 13:45:00,2785.534,2786.603,2780.26,2780.865,2830930000.0
2024-09-05 14:00:00,2780.771,2791.535,2777.471,2789.895,4353203400.0
2024-09-05 14:15:00,2780.771,2791.535,2777.471,2789.895,4353203400.0
2024-09-05 14:30:00,2780.771,2791.535,2777.471,2789.895,4353203400.0
2024-09-05 14:45:00,2780.771,2791.535,2777.471,2789.895,4353203400.0
2024-09-05 15:00:00,2790.292,2790.697,2787.834,2788.314,1863859100.0
2024-09-06 09:45:00,2791.765,2794.406,2788.686,2793.324,5059848000.0
2024-09-06 10:00:00,2793.323,2804.093,2792.615,2798.17,7937162100.0
2024-09-06 10:15:00,2793.323,2804.093,2792.615,2798.17,7937162100.0
2024-09-06 10:30:00,2793.323,2804.093,2792.615,2798.17,7937162100.0
2024-09-06 10:45:00,2793.323,2804.093,2792.615,2798.17,7937162100.0
2024-09-06 11:00:00,2797.586,2798.146,2780.973,2781.998,3728593100.0
2024-09-06 11:15:00,2797.586,2798.146,2780.973,2781.998,3728593100.0
2024-09-06 11:30:00,2797.586,2798.146,2780.973,2781.998,3728593100.0
2024-09-06 13:15:00,2782.061,2784.043,2775.807,2776.822,2818294900.0
2024-09-06 13:30:00,2782.061,2784.043,2775.807,2776.822,2818294900.0
2024-09-06 13:45:00,2782.061,2784.043,2775.807,2776.822,2818294900.0
2024-09-06 14:00:00,2776.56,2778.348,2768.586,2769.226,3888466700.0
2024-09-06 14:15:00,2776.56,2778.348,2768.586,2769.226,3888466700.0
2024-09-06 14:30:00,2776.56,2778.348,2768.586,2769.226,3888466700.0
2024-09-06 14:45:00,2776.56,2778.348,2768.586,2769.226,3888466700.0
2024-09-06 15:00:00,2769.084,2770.022,2765.639,2765.807,1932172700.0
2024-09-09 09:45:00,2754.724,2756.556,2745.993,2749.417,6420813900.0
2024-09-09 10:00:00,2749.688,2750.231,2738.899,2740.14,7746874600.0
2024-09-09 10:15:00,2749.688,2750.231,2738.899,2740.14,7746874600.0
2024-09-09 10:30:00,2749.688,2750.231,2738.899,2740.14,7746874600.0
2024-09-09 10:45:00,2749.688,2750.231,2738.899,2740.14,7746874600.0
2024-09-09 11:00:00,2740.276,2742.945,2735.921,2740.374,2834381300.0
2024-09-09 11:15:00,2740.276,2742.945,2735.921,2740.374,2834381300.0
2024-09-09 11:30:00,2740.276,2742.945,2735.921,2740.374,2834381300.0
2024-09-09 13:15:00,2740.339,2740.995,2733.591,2734.532,3082885400.0
2024-09-09 13:30:00,2740.339,2740.995,2733.591,2734.532,3082885400.0
2024-09-09 13:45:00,2740.339,2740.995,2733.591,2734.532,3082885400.0
2024-09-09 14:00:00,2734.308,2740.139,2726.971,2739.803,4283474500.0
2024-09-09 14:15:00,2734.308,2740.139,2726.971,2739.803,4283474500.0
2024-09-09 14:30:00,2734.308,2740.139,2726.971,2739.803,4283474500.0
2024-09-09 14:45:00,2734.308,2740.139,2726.971,2739.803,4283474500.0
2024-09-09 15:00:00,2739.421,2739.817,2735.11,2736.488,1778455000.0
2024-09-10 09:45:00,2737.881,2742.512,2733.279,2734.757,5010282500.0
