,open,close,high,low,volume
2024-10-18 10:25:00,3170.47,3170.01,3170.47,3168.77,2206304.0
2024-10-18 10:26:00,3169.62,3173.26,3173.57,3169.62,2691623.0
2024-10-18 10:27:00,3173.26,3172.37,3173.26,3171.82,1880742.0
2024-10-18 10:28:00,3172.05,3168.52,3172.17,3168.06,2010645.0
2024-10-18 10:29:00,3168.64,3169.68,3170.12,3166.82,1969709.0
2024-10-18 10:30:00,3170.67,3177.07,3177.07,3170.67,2384336.0
2024-10-18 10:31:00,3177.38,3178.79,3180.17,3177.38,3275736.0
2024-10-18 10:32:00,3178.99,3177.48,3179.85,3177.48,1843997.0
2024-10-18 10:33:00,3176.67,3182.09,3182.09,3175.92,2370063.0
2024-10-18 10:34:00,3182.38,3187.77,3187.77,3182.15,2631988.0
2024-10-18 10:35:00,3187.77,3194.45,3194.45,3187.36,3885482.0
2024-10-18 10:36:00,3194.52,3189.69,3195.07,3189.69,3557501.0
2024-10-18 10:37:00,3190.04,3198.06,3198.06,3190.04,3538637.0
2024-10-18 10:38:00,3198.1,3199.96,3199.96,3196.5,4356969.0
2024-10-18 10:39:00,3200.52,3195.99,3200.52,3195.63,2933131.0
2024-10-18 10:40:00,3195.74,3205.79,3205.79,3195.74,3998703.0
2024-10-18 10:41:00,3206.8,3211.25,3211.49,3206.26,4489241.0
2024-10-18 10:42:00,3210.72,3203.41,3210.87,3203.41,3571175.0
2024-10-18 10:43:00,3202.87,3205.46,3205.63,3201.66,2997046.0
2024-10-18 10:44:00,3205.7,3196.82,3205.7,3196.82,3202778.0
2024-10-18 10:45:00,3196.32,3195.3,3197.31,3194.73,2354544.0
2024-10-18 10:46:00,3193.99,3198.32,3200.12,3193.99,2624230.0
2024-10-18 10:47:00,3199.15,3208.45,3208.96,3199.15,3678764.0
2024-10-18 10:48:00,3208.3,3201.49,3208.3,3201.2,2696087.0
2024-10-18 10:49:00,3201.76,3205.98,3207.76,3201.64,2156658.0
2024-10-18 10:50:00,3205.51,3201.86,3205.81,3201.86,1758286.0
2024-10-18 10:51:00,3201.87,3200.75,3202.3,3200.24,1579758.0
2024-10-18 10:52:00,3200.27,3194.2,3200.27,3194.2,2233559.0
2024-10-18 10:53:00,3194.14,3196.01,3196.01,3194.1,1621499.0
2024-10-18 10:54:00,3195.32,3190.59,3195.32,3190.59,1620719.0
2024-10-18 10:55:00,3190.61,3188.48,3190.61,3188.17,2221267.0
2024-10-18 10:56:00,3188.44,3191.61,3191.64,3188.44,2565963.0
2024-10-18 10:57:00,3192.05,3190.06,3192.75,3189.92,1853599.0
2024-10-18 10:58:00,3190.35,3193.62,3194.79,3190.35,1788082.0
2024-10-18 10:59:00,3193.67,3194.32,3194.32,3193.44,1280156.0
2024-10-18 11:00:00,3194.31,3193.73,3195.7,3193.73,1359227.0
2024-10-18 11:01:00,3193.11,3188.4,3193.11,3188.22,1888832.0
2024-10-18 11:02:00,3188.0,3186.78,3188.0,3185.94,1619702.0
2024-10-18 11:03:00,3186.87,3190.45,3191.55,3186.35,1590648.0
2024-10-18 11:04:00,3190.35,3187.93,3190.35,3187.93,1053332.0
2024-10-18 11:05:00,3187.87,3188.77,3189.23,3187.87,937612.0
2024-10-18 11:06:00,3189.88,3191.72,3191.88,3189.88,1124032.0
2024-10-18 11:07:00,3191.69,3195.09,3195.51,3191.69,1881254.0
2024-10-18 11:08:00,3194.67,3191.39,3195.01,3191.39,1206235.0
2024-10-18 11:09:00,3191.85,3188.47,3191.85,3188.01,1151269.0
2024-10-18 11:10:00,3188.47,3190.29,3191.77,3188.19,1096068.0
2024-10-18 11:11:00,3190.05,3187.15,3190.63,3187.14,1072710.0
2024-10-18 11:12:00,3186.77,3186.3,3187.17,3185.96,1296202.0
2024-10-18 11:13:00,3186.58,3183.46,3186.58,3183.37,1436722.0
2024-10-18 11:14:00,3183.6,3184.19,3185.32,3183.6,1156657.0
2024-10-18 11:15:00,3184.56,3186.47,3186.47,3184.56,1013252.0
2024-10-18 11:16:00,3186.38,3185.3,3186.86,3184.83,1063011.0
2024-10-18 11:17:00,3184.74,3188.72,3189.1,3184.74,1206566.0
2024-10-18 11:18:00,3188.99,3187.92,3189.23,3187.06,926524.0
2024-10-18 11:19:00,3187.58,3184.58,3187.96,3184.58,944830.0
2024-10-18 11:20:00,3184.54,3186.88,3187.6,3184.51,919296.0
2024-10-18 11:21:00,3187.06,3187.85,3187.85,3185.91,827355.0
2024-10-18 11:22:00,3188.09,3189.95,3191.53,3188.09,1486994.0
2024-10-18 11:23:00,3190.29,3190.6,3190.94,3190.2,882617.0
2024-10-18 11:24:00,3190.91,3187.82,3191.0,3187.25,1008679.0
2024-10-18 11:25:00,3187.62,3185.69,3188.0,3185.69,870535.0
2024-10-18 11:26:00,3185.64,3185.12,3185.64,3184.29,881871.0
2024-10-18 11:27:00,3184.99,3185.82,3186.45,3184.99,779910.0
2024-10-18 11:28:00,3186.49,3186.06,3186.72,3185.42,769468.0
2024-10-18 11:29:00,3186.27,3187.93,3188.82,3186.27,1022812.0
2024-10-18 11:30:00,3188.33,3190.63,3190.82,3188.07,994671.0
2024-10-18 13:01:00,3190.63,3205.19,3206.38,3190.63,8537319.0
2024-10-18 13:02:00,3205.42,3206.76,3206.87,3205.42,3053448.0
2024-10-18 13:03:00,3207.16,3206.67,3207.17,3204.55,2494879.0
2024-10-18 13:04:00,3206.4,3213.7,3213.7,3206.24,3446036.0
2024-10-18 13:05:00,3213.65,3213.53,3214.32,3212.91,2919404.0
2024-10-18 13:06:00,3213.06,3216.55,3217.17,3213.06,2824333.0
2024-10-18 13:07:00,3216.86,3210.72,3217.85,3210.64,2849869.0
2024-10-18 13:08:00,3209.78,3207.24,3209.78,3206.41,2489920.0
2024-10-18 13:09:00,3207.36,3209.98,3210.0,3207.36,1862445.0
2024-10-18 13:10:00,3210.68,3218.28,3218.28,3210.68,3269289.0
2024-10-18 13:11:00,3218.31,3219.11,3219.11,3217.72,2397624.0
2024-10-18 13:12:00,3219.39,3222.88,3222.88,3219.39,3038724.0
2024-10-18 13:13:00,3223.12,3225.4,3226.4,3223.11,3833932.0
2024-10-18 13:14:00,3225.51,3223.82,3226.17,3222.22,3419169.0
2024-10-18 13:15:00,3223.48,3232.42,3232.42,3223.48,3937021.0
2024-10-18 13:16:00,3232.19,3234.97,3234.98,3231.13,3797460.0
2024-10-18 13:17:00,3235.64,3239.72,3239.72,3235.03,4069976.0
2024-10-18 13:18:00,3239.61,3243.65,3243.65,3239.61,3838440.0
2024-10-18 13:19:00,3244.35,3251.64,3251.64,3244.1,4600463.0
2024-10-18 13:20:00,3252.13,3241.33,3252.13,3241.33,5506653.0
2024-10-18 13:21:00,3241.14,3238.47,3245.39,3238.47,3632372.0
2024-10-18 13:22:00,3237.37,3237.64,3238.87,3235.26,3481095.0
2024-10-18 13:23:00,3237.92,3235.73,3237.92,3235.05,2317280.0
2024-10-18 13:24:00,3235.29,3233.15,3235.66,3233.15,2447590.0
2024-10-18 13:25:00,3232.93,3227.28,3233.35,3227.13,2492266.0
2024-10-18 13:26:00,3226.71,3225.05,3227.07,3225.05,2472608.0
2024-10-18 13:27:00,3225.03,3226.51,3226.51,3223.75,2137184.0
2024-10-18 13:28:00,3227.29,3231.6,3231.62,3227.25,2093485.0
2024-10-18 13:29:00,3232.06,3230.13,3233.16,3229.43,2021551.0
2024-10-18 13:30:00,3230.09,3231.01,3232.8,3230.09,1693711.0
2024-10-18 13:31:00,3230.99,3225.21,3230.99,3225.21,2133404.0
2024-10-18 13:32:00,3224.97,3227.41,3228.28,3224.97,1629206.0
2024-10-18 13:33:00,3227.95,3226.34,3228.2,3225.61,1565015.0
2024-10-18 13:34:00,3226.67,3232.6,3232.6,3226.67,2066899.0
2024-10-18 13:35:00,3232.93,3232.83,3233.34,3231.13,1621893.0
2024-10-18 13:36:00,3232.95,3235.92,3236.18,3232.95,1939452.0
2024-10-18 13:37:00,3235.91,3238.07,3238.35,3235.87,1950416.0
2024-10-18 13:38:00,3237.61,3238.28,3238.34,3236.5,1821499.0
2024-10-18 13:39:00,3238.56,3238.82,3240.46,3238.51,1874097.0
2024-10-18 13:40:00,3239.25,3236.39,3239.31,3235.61,1833753.0
2024-10-18 13:41:00,3235.68,3233.09,3235.68,3232.36,1823622.0
2024-10-18 13:42:00,3233.05,3234.2,3235.16,3232.67,1594988.0
2024-10-18 13:43:00,3233.85,3232.03,3233.85,3231.98,1397643.0
2024-10-18 13:44:00,3231.76,3234.72,3234.72,3231.51,1677730.0
2024-10-18 13:45:00,3235.14,3234.37,3235.89,3233.95,1462898.0
2024-10-18 13:46:00,3234.84,3240.14,3240.14,3234.56,2595628.0
2024-10-18 13:47:00,3240.42,3244.21,3244.21,3240.42,2917863.0
2024-10-18 13:48:00,3244.13,3243.19,3244.13,3242.14,2389746.0
2024-10-18 13:49:00,3242.88,3244.96,3245.15,3242.63,2196270.0
2024-10-18 13:50:00,3245.07,3243.37,3245.07,3242.71,2004107.0
2024-10-18 13:51:00,3243.05,3245.24,3245.25,3242.66,1763123.0
2024-10-18 13:52:00,3245.46,3245.87,3246.03,3244.59,1989926.0
2024-10-18 13:53:00,3245.88,3246.95,3247.06,3245.66,1905298.0
2024-10-18 13:54:00,3246.35,3249.88,3249.94,3246.35,2517389.0
2024-10-18 13:55:00,3250.75,3248.55,3250.75,3248.22,2654276.0
2024-10-18 13:56:00,3248.89,3252.7,3252.77,3248.89,2730330.0
2024-10-18 13:57:00,3252.95,3254.34,3254.34,3252.6,2837320.0
2024-10-18 13:58:00,3254.24,3256.98,3257.47,3254.24,3143470.0
2024-10-18 13:59:00,3257.26,3261.42,3261.68,3257.1,3552214.0
2024-10-18 14:00:00,3261.47,3262.95,3263.61,3261.14,3682765.0
2024-10-18 14:01:00,3262.88,3264.37,3264.43,3262.29,3406128.0
2024-10-18 14:02:00,3264.22,3253.93,3264.22,3253.93,4494939.0
2024-10-18 14:03:00,3253.84,3251.75,3253.84,3251.57,2399403.0
2024-10-18 14:04:00,3251.21,3257.21,3257.21,3251.15,2458449.0
2024-10-18 14:05:00,3257.68,3255.51,3257.68,3254.58,1717774.0
2024-10-18 14:06:00,3255.72,3252.2,3255.72,3251.91,1882244.0
2024-10-18 14:07:00,3251.62,3255.8,3256.3,3251.62,1891386.0
2024-10-18 14:08:00,3255.22,3255.33,3256.36,3254.74,1616978.0
2024-10-18 14:09:00,3255.08,3256.78,3257.0,3255.08,1547976.0
2024-10-18 14:10:00,3257.33,3261.01,3261.1,3257.33,2359331.0
2024-10-18 14:11:00,3261.71,3263.44,3263.88,3261.15,2202557.0
2024-10-18 14:12:00,3263.98,3262.53,3264.31,3262.45,2167846.0
2024-10-18 14:13:00,3262.01,3261.9,3263.75,3260.93,2162707.0
2024-10-18 14:14:00,3261.78,3262.18,3262.44,3260.3,1939958.0
2024-10-18 14:15:00,3262.15,3262.57,3263.52,3262.15,1922783.0
2024-10-18 14:16:00,3262.87,3265.76,3266.02,3262.79,2353005.0
2024-10-18 14:17:00,3266.11,3268.03,3268.13,3265.95,2764362.0
2024-10-18 14:18:00,3267.91,3270.85,3270.85,3267.7,3069344.0
2024-10-18 14:19:00,3271.08,3276.45,3276.45,3271.08,4203174.0
2024-10-18 14:20:00,3276.76,3277.83,3277.83,3275.68,3814367.0
2024-10-18 14:21:00,3278.48,3280.18,3280.18,3277.9,3808847.0
2024-10-18 14:22:00,3280.15,3277.92,3280.45,3277.8,3742890.0
2024-10-18 14:23:00,3277.57,3277.96,3278.17,3276.6,2764490.0
2024-10-18 14:24:00,3277.92,3275.15,3277.98,3274.61,2685519.0
2024-10-18 14:25:00,3274.85,3278.91,3279.1,3274.49,2880152.0
2024-10-18 14:26:00,3279.15,3280.5,3281.08,3279.15,2704584.0
2024-10-18 14:27:00,3280.58,3282.53,3282.53,3280.41,2878798.0
2024-10-18 14:28:00,3282.59,3281.8,3282.78,3281.08,2513626.0
2024-10-18 14:29:00,3281.62,3284.07,3284.07,3281.23,2661669.0
2024-10-18 14:30:00,3283.94,3282.48,3283.94,3281.9,2428648.0
2024-10-18 14:31:00,3282.21,3286.08,3286.08,3282.21,2900130.0
2024-10-18 14:32:00,3286.68,3289.35,3289.35,3286.03,3134518.0
2024-10-18 14:33:00,3289.43,3294.11,3294.11,3289.43,4462637.0
2024-10-18 14:34:00,3294.02,3296.07,3296.07,3293.55,4229245.0
2024-10-18 14:35:00,3296.62,3300.0,3300.46,3296.62,4448637.0
2024-10-18 14:36:00,3300.37,3304.18,3304.27,3299.83,4584258.0
2024-10-18 14:37:00,3304.73,3303.36,3304.94,3301.87,4792846.0
2024-10-18 14:38:00,3302.76,3305.77,3305.79,3302.76,3797580.0
2024-10-18 14:39:00,3305.57,3308.97,3308.97,3305.37,4081959.0
2024-10-18 14:40:00,3309.05,3310.29,3310.37,3307.96,4085168.0
2024-10-18 14:41:00,3310.1,3311.86,3311.98,3309.35,4267009.0
2024-10-18 14:42:00,3311.74,3313.98,3313.98,3311.42,4121181.0
2024-10-18 14:43:00,3313.78,3306.75,3313.97,3306.75,4960865.0
2024-10-18 14:44:00,3305.63,3296.61,3305.63,3296.61,4868878.0
2024-10-18 14:45:00,3296.6,3289.27,3296.6,3289.27,4209771.0
2024-10-18 14:46:00,3288.67,3284.38,3288.69,3284.33,4379187.0
2024-10-18 14:47:00,3284.49,3280.7,3284.49,3280.7,4023594.0
2024-10-18 14:48:00,3280.08,3274.98,3280.08,3274.98,4026019.0
2024-10-18 14:49:00,3274.78,3277.48,3277.71,3273.72,4033698.0
2024-10-18 14:50:00,3277.41,3271.8,3278.61,3271.8,3600518.0
2024-10-18 14:51:00,3271.86,3267.32,3271.96,3267.32,3646300.0
2024-10-18 14:52:00,3267.29,3266.26,3267.4,3266.26,3077080.0
2024-10-18 14:53:00,3266.88,3265.66,3268.03,3265.43,3177562.0
2024-10-18 14:54:00,3265.08,3264.21,3265.08,3264.21,3292498.0
2024-10-18 14:55:00,3264.15,3261.11,3264.15,3261.08,3791663.0
2024-10-18 14:56:00,3261.18,3260.07,3261.3,3259.47,4222907.0
2024-10-18 14:57:00,3259.86,3262.21,3262.29,3259.8,4113359.0
2024-10-18 14:58:00,3261.96,3262.13,3262.13,3261.96,275406.0
2024-10-18 14:59:00,3262.13,3262.13,3262.13,3262.13,0.0
2024-10-18 15:00:00,3262.13,3261.56,3262.13,3261.56,7484826.0
