,day,open,high,low,close,volume
2024-08-05,2024-08-05,2889.363,2919.025,2860.698,2860.698,35554057200
2024-08-06,2024-08-06,2878.651,2888.201,2845.335,2867.284,29730080300
2024-08-07,2024-08-07,2864.01,2886.942,2857.725,2869.834,26309715000
2024-08-08,2024-08-08,2864.758,2886.399,2850.875,2869.901,28912863200
2024-08-09,2024-08-09,2879.873,2887.849,2862.194,2862.194,28425391600
2024-08-12,2024-08-12,2858.895,2869.269,2851.295,2858.205,24424137100
2024-08-13,2024-08-13,2860.41,2867.946,2845.31,2867.946,23167460100
2024-08-14,2024-08-14,2866.243,2866.243,2850.401,2850.654,21788517000
2024-08-15,2024-08-15,2844.201,2889.087,2839.388,2877.358,27190000000
2024-08-16,2024-08-16,2877.94,2888.675,2873.06,2879.43,26365344100
2024-08-19,2024-08-19,2877.954,2905.155,2877.771,2893.674,26168773000
2024-08-20,2024-08-20,2895.551,2896.519,2855.329,2866.661,26365800200
2024-08-21,2024-08-21,2858.939,2863.891,2848.151,2856.584,22920002700
2024-08-22,2024-08-22,2856.2,2861.607,2845.502,2848.772,24539941500
2024-08-23,2024-08-23,2844.77,2860.733,2839.337,2854.368,22669256500
2024-08-26,2024-08-26,2855.474,2860.655,2844.383,2855.52,22735152300
2024-08-27,2024-08-27,2850.877,2853.78,2843.158,2848.731,23069300600
2024-08-28,2024-08-28,2844.327,2852.562,2830.962,2837.429,22873062300
2024-08-29,2024-08-29,2829.451,2831.431,2815.383,2823.106,27751053400
2024-08-30,2024-08-30,2819.65,2867.965,2817.014,2842.214,39751697500
2024-09-02,2024-09-02,2832.35,2839.278,2810.374,2811.035,34071419300
2024-09-03,2024-09-03,2809.173,2814.903,2794.911,2802.979,27573613900
2024-09-04,2024-09-04,2786.505,2800.607,2781.935,2784.278,25745350000
2024-09-05,2024-09-05,2785.264,2796.019,2777.471,2788.314,24204094800
2024-09-06,2024-09-06,2791.765,2804.093,2765.639,2765.807,25364537500
2024-09-09,2024-09-09,2754.724,2756.556,2726.967,2736.488,26146884700
2024-09-10,2024-09-10,2737.881,2750.118,2718.627,2744.192,26215901500
2024-09-11,2024-09-11,2732.731,2732.731,2710.621,2721.795,24226490000
2024-09-12,2024-09-12,2722.138,2734.683,2716.555,2717.123,24008431500
2024-09-13,2024-09-13,2718.986,2728.78,2703.369,2704.09,25127003800
2024-09-18,2024-09-18,2705.345,2724.114,2689.695,2717.281,24781713200
2024-09-19,2024-09-19,2723.205,2747.74,2697.776,2736.022,31520838900
2024-09-20,2024-09-20,2734.228,2741.155,2717.945,2736.814,28564462700
2024-09-23,2024-09-23,2735.39,2760.48,2731.357,2748.918,25764215400
2024-09-24,2024-09-24,2770.754,2863.152,2761.372,2863.126,47761954500
2024-09-25,2024-09-25,2901.419,2952.451,2889.048,2896.306,56825981600
2024-09-26,2024-09-26,2893.745,3000.953,2889.014,3000.953,57631926100
2024-09-27,2024-09-27,3049.103,3087.529,3017.445,3087.529,49228716300
2024-09-30,2024-09-30,3194.722,3358.588,3153.697,3336.497,110233791700
2024-10-08,2024-10-08,3674.405,3674.405,3372.187,3489.775,131346019500
2024-10-09,2024-10-09,3427.22,3437.157,3249.159,3258.858,99275725600
2024-10-10,2024-10-10,3277.692,3379.805,3228.125,3301.926,83450025700
2024-10-11,2024-10-11,3287.873,3297.752,3187.988,3217.738,60602743300
2024-10-14,2024-10-14,3241.428,3294.62,3203.901,3284.323,63146685900
2024-10-15,2024-10-15,3265.746,3285.215,3201.292,3201.292,56605455800
2024-10-16,2024-10-16,3169.169,3236.848,3167.736,3202.948,51581399700
2024-10-17,2024-10-17,3220.733,3241.568,3169.384,3169.384,52861177200
2024-10-18,2024-10-18,3165.975,3313.978,3152.821,3261.563,69301462300
